month_day,East,North,Vertical,East_sd,North_sd,Vertical_sd
02-04,0.13613182599246315,0.18123055956999676,0.9552122237084008,0.5631944754103085,0.768099779885655,2.9515352500619705
02-05,0.13774701851806923,0.19539321782807673,0.9269096312649346,0.5810287398239995,0.7559835606717124,3.0702634030834375
02-06,0.1344472110436753,0.2060608760861567,0.8953137054881352,0.5866383020782604,0.7626034837364793,3.160289850385043
02-07,0.12515573690261475,0.21733770101090336,0.8598152797113356,0.5843540690615964,0.7359413414551612,3.257702499877972
02-08,0.11201009609488759,0.21878202593564994,0.8200785206012027,0.5891565905428758,0.7101743490900038,3.255215464468648
02-09,0.10357362195382704,0.2268263508603966,0.7742642614910697,0.5967463589264832,0.7005680575821475,3.34907273621945
02-10,0.0970838144794331,0.24022567578514326,0.7549875023809369,0.5965361280507272,0.6847952895029229,3.4809742012760556
02-11,0.09438484033837259,0.2586500007098899,0.7259974099374708,0.5971918262555153,0.6685012331815161,3.6357492212889575
02-12,0.09586419953064534,0.28508765896796995,0.6843189841606712,0.5863458288146818,0.6576569411865383,3.6789273314618467
02-13,0.10242022538958478,0.3079994838927166,0.6349297250505384,0.5680051459351926,0.6512935224449243,3.8231763441027256
02-14,0.10913625124852426,0.32199547548413,0.5627137992737388,0.5524350282328332,0.6579285115812373,3.9237106908157213
02-15,0.1129389437741304,0.3336323004088766,0.5148412068302726,0.5417425611837262,0.6705243921675269,4.055955712088144
02-16,0.11938830296640328,0.34240162533362334,0.487250281053473,0.5245203925115082,0.6744768561632829,4.1430524711766115
02-17,0.12052849549200961,0.3505942835917033,0.4677685219433401,0.5350568026833606,0.7009033334206802,4.1912448387678705
02-18,0.12507952135094919,0.3663169418497832,0.45816092949987386,0.5458954824088862,0.7261316078775483,4.314185190935591
02-19,0.1295638805432221,0.3750721001078631,0.44755000372307435,0.5596237498533441,0.7601080655835226,4.361990771472375
02-20,0.13261823973549502,0.37903975836594317,0.4438682446129415,0.5499365498385116,0.7893861843177727,4.460478834538911
02-21,0.1388934322611012,0.3821557499573565,0.42768148550280854,0.5630544537106604,0.8325497858103056,4.55208005359673
02-22,0.14215445812004082,0.3770959082154366,0.38072305972600895,0.5550578770392532,0.8653074240419109,4.548682804953136
02-23,0.14905215064564709,0.37454939980684987,0.30440463394920936,0.5638716755592977,0.9127618311894377,4.541293991490813
02-24,0.15364650983791997,0.3778512247315965,0.22884287483907648,0.5675501748067825,0.9390570794895647,4.552207258615597
02-25,0.16012420236352612,0.3823897163230098,0.15605028239561036,0.5497941743885147,0.9518392091624688,4.517703165635111
02-26,0.17124439488913226,0.391913207914423,0.1224985232854777,0.5627674885428846,0.9649332457527007,4.449817971024088
02-27,0.1819312540814051,0.4074433661725031,0.11007093084201162,0.5540589087650685,0.9880057926050744,4.419065364082392
02-28,0.19459419021309823,0.42020807796660575,0.10108787313195217,0.5436738006138659,1.0207038369218278,4.495653809232085
03-01,0.20733379301145818,0.42930278976070846,0.12085231542189262,0.5435245398027272,1.0449660567627947,4.486318850114885
03-02,0.21081422914315143,0.43453666822147785,0.1211384243784997,0.5487679677946796,1.0197598281146645,4.418335536801852
03-03,0.20422049860817804,0.42697304668224717,0.1087678666684401,0.5568574440440485,1.0026731103229665,4.260848577471245
03-04,0.18986485780045104,0.41500737160699386,0.06741527422497395,0.5285409203090738,0.9923607955928103,4.0909762732634505
03-05,0.16783838365939063,0.39765086319840715,-0.0055598182184922185,0.4819405455542395,0.9874866952750792,3.8791180761037496
03-06,0.1495644095183302,0.3739385214564872,-0.07585907732862504,0.45570782419733297,0.9798902599087497,3.687477307399948
03-07,0.1372629353772697,0.3556586797145672,-0.14298416977209125,0.4521031864337648,0.9686139851002527,3.607203920019021
03-08,0.12762479456954254,0.33494300463931387,-0.19268259554889075,0.4267743093334231,0.9473096517829298,3.518108124719532
03-09,0.12173165376181538,0.31965816289739385,-0.22298935465902367,0.4194746285423009,0.9194684549278962,3.3998004796383836
03-10,0.11201517962075502,0.3089916544888071,-0.2622369471024899,0.398522125033039,0.9151431902544047,3.3197082232168227
03-11,0.09893953881302803,0.29414347941355373,-0.28638870621262275,0.382295817637026,0.9170840993077449,3.2768385576651458
03-12,0.08596389800530096,0.28325613767163366,-0.3125871319894223,0.3639110503250442,0.9626545107714706,3.136040372369635
03-13,0.06638409053090719,0.2662737959297136,-0.34667472443288844,0.3518867405336223,0.9673678873582113,3.0076600260864335
03-14,0.04204928305651335,0.2467189541877936,-0.37397815020968794,0.3360796023040481,0.9506172881096039,2.8522494743744766
03-15,0.0131103089154528,0.2336741124458736,-0.3973274093198207,0.34241018508435733,0.9390020205381909,2.700219331501319
03-16,-0.015799498558941187,0.22428677070395364,-0.4346741684299535,0.3477268377436375,0.9403733942444517,2.544709211212864
03-17,-0.03859430603333522,0.21820192896203375,-0.4828842608734197,0.37194265870265747,0.9354221830839835,2.457765658853978
03-18,-0.05380244684106261,0.21995375388678046,-0.5255635199835524,0.41266920566874415,0.9152843872587676,2.293672062867792
03-19,-0.0642947543154567,0.21915807881152724,-0.580271945760352,0.4439160592297466,0.9042645030247145,2.237605196190921
03-20,-0.07445206178985077,0.21151907040294066,-0.6338253715371516,0.45242998638738424,0.8941062603257074,2.1235642926830116
