month_day,East,North,Vertical,East_sd,North_sd,Vertical_sd
02-01,-0.4210295063756015,0.2797424226427498,0.21611903612649783,1.2776793030560767,1.7758774833612396,4.018160729783004
02-02,-0.39958478895727767,0.2506075694471895,0.13684323225771308,1.296935196536459,1.745435085493471,4.248407731809124
02-03,-0.3784600715389539,0.20900604958496255,0.031999095055594784,1.2894987317576327,1.7128979067506345,4.324089187808872
02-04,-0.3747270207872968,0.16639286305606882,-0.011755042146523368,1.2766912079893915,1.6977132039177962,4.382226693551266
02-05,-0.37585563670230643,0.11650800986050852,-0.07203584601530816,1.281195277048122,1.6716407062028855,4.47069572120171
02-06,-0.381244252617316,0.06567482333161481,-0.11442831655075975,1.3358474733805823,1.6627617356902564,4.549124940414866
02-07,-0.3872495351989922,0.02178330346938804,-0.10095578708621127,1.4102329368955673,1.6801556993274045,4.9474655687831355
02-08,-0.3976081511140017,-0.02236321639283867,-0.10705159095499625,1.5346596166476223,1.673881402318878,5.061563199452044
02-09,-0.4155851003623446,-0.0530780695883986,-0.08255906149044785,1.6257739568601235,1.692271906223892,5.260345741686574
02-10,-0.4277587162773542,-0.07414625611729195,-0.052968198692566124,1.694377658466172,1.7252067676092644,5.4309357372565366
02-11,-0.4380989988590304,-0.08408944264618531,-0.018299002561350954,1.7453821566851464,1.7500176044665217,5.762026993403431
02-12,-0.4364329715547294,-0.08758348475661852,0.029765747984963183,1.7872951380368585,1.7502829800227613,5.914746354607538
02-13,-0.4267943244784735,-0.09473423803013177,0.09142994069480828,1.8426880701047397,1.7513974579670364,6.175857828850036
02-14,-0.42843139096359634,-0.10837336913339113,0.14251024223485123,1.8790919235090424,1.7368417703074794,6.374151090282057
02-15,-0.4395441710100978,-0.12571921139973047,0.20082165260509188,1.9361749523793426,1.7160610203570617,6.502328206614364
02-16,-0.4537639745039552,-0.14607924258094318,0.28091361739043147,1.9576152412484422,1.691314477285147,6.775232835230412
02-17,-0.4775554446644793,-0.16071927376215583,0.3734205821757711,2.0320713312769096,1.6917588651381108,6.9756303734933764
02-18,-0.5003669148250034,-0.17576930494336884,0.4913075469611109,2.08937870506294,1.6863900502418545,7.199490679664526
02-19,-0.5248933849855274,-0.19813933612458173,0.626332845079784,2.154923132326668,1.7318777647992938,7.342559861361517
02-20,-0.5648515218127181,-0.21597103397246117,0.786933143198457,2.1974129680842442,1.745639831037563,7.451681281156669
02-21,-0.6066529919732423,-0.22878773182034057,0.9310584413171301,2.240866028838714,1.7438624997722096,7.776467323658483
02-22,-0.6578194621337664,-0.2374177630015531,1.0796104061024698,2.273257457279899,1.724511087097964,7.936645768770915
02-23,-0.7160192656276236,-0.24417279418276583,1.2167390375544762,2.3316906433710174,1.7044551368145016,8.290450768188473
02-24,-0.7718807357881476,-0.24205449203064544,1.3686443356731492,2.4118991909655,1.7017463788032205,8.613045726318369
02-25,-0.816725539282005,-0.2419495232118584,1.5414079671251555,2.4603874975505393,1.6880213102392518,8.901806486825368
02-26,-0.8526103427758622,-0.2479912210597378,1.703469931910495,2.49016313729235,1.6934839366847292,9.157832700753943
02-27,-0.8698318129363862,-0.2574845855742839,1.8708802300291676,2.486122967702715,1.6897686990916876,9.350160799210865
02-28,-0.8794260967796291,-0.2845322865402843,2.015380391293041,2.4318660680161903,1.6533575817361013,9.54650507018205
03-01,-0.8899037139562055,-0.33070665417295136,2.1704155525569147,2.330709362336003,1.6194370838040844,9.685134834103936
03-02,-0.8979396644661153,-0.37935435513895205,2.3192157138207885,2.2794839536555633,1.5263997581904272,9.844867832004223
03-03,-0.9150639483093584,-0.4284237227716193,2.421404208417995,2.239063633496223,1.4397664057900366,10.124671843114715
03-04,-0.9349304184698828,-0.4777237539528319,2.4601678398700013,2.181256173107442,1.3816194930294023,10.19041715172167
03-05,-0.9654935552970736,-0.5207454518007112,2.450084804655341,2.1238814695584614,1.3083356840738005,10.24723668929277
03-06,-1.0025650254575977,-0.5620438163152571,2.41465676944068,2.0543225655197714,1.3140775135003915,10.449006146500352
03-07,-1.0378231622847887,-0.6007005141631365,2.36799373422602,1.9933987508163875,1.277613879132742,10.520065543219573
03-08,-1.0691962991119792,-0.6404488786776825,2.3001240323446934,1.919520797280207,1.2533940965467143,10.731541693421725
03-09,-1.0926844359391699,-0.6783472431922286,2.2500693304633663,1.8451342445735461,1.231838362766124,10.753993032145281
03-10,-1.1108209060996939,-0.7144022743734413,2.2043846285820394,1.7659585591401874,1.1887096897024831,10.882376628278097
03-11,-1.1287790429268847,-0.7464489722213206,2.1450482600340455,1.6891384020427795,1.169755753795766,11.12077090572463
03-12,-1.1549188464207418,-0.7734323367358666,2.1063035581527187,1.6456497031737554,1.1559286459100118,11.19164025951441
03-13,-1.1907369832479326,-0.7950623679170794,2.006592189604725,1.6274583993276528,1.1398360381577426,11.041317943275438
