station,lon,lat,disp,year,Amplitude,Peak_DoY,Min_DoY,Time_MintoPeak
HJOR,"24   -41.147872
Name: longitude, dtype: float64","24    63.418211
Name: latitude, dtype: float64",Vertical,2015,13.969972701509478,31,162,131
HJOR,"24   -41.147872
Name: longitude, dtype: float64","24    63.418211
Name: latitude, dtype: float64",Vertical,2016,21.57975468943487,264,120,144
HJOR,"24   -41.147872
Name: longitude, dtype: float64","24    63.418211
Name: latitude, dtype: float64",Vertical,2017,15.431680130400842,255,133,122
HJOR,"24   -41.147872
Name: longitude, dtype: float64","24    63.418211
Name: latitude, dtype: float64",Vertical,2018,13.181375302285222,302,147,155
HJOR,"24   -41.147872
Name: longitude, dtype: float64","24    63.418211
Name: latitude, dtype: float64",Vertical,2019,20.73618263751591,308,141,167
HJOR,"24   -41.147872
Name: longitude, dtype: float64","24    63.418211
Name: latitude, dtype: float64",Vertical,2020,15.340813742302513,267,140,127
HJOR,"24   -41.147872
Name: longitude, dtype: float64","24    63.418211
Name: latitude, dtype: float64",Vertical,2021,16.19205858939164,331,117,214
HJOR,"24   -41.147872
Name: longitude, dtype: float64","24    63.418211
Name: latitude, dtype: float64",Vertical,2022,16.75994113324687,295,155,140
HJOR,"24   -41.147872
Name: longitude, dtype: float64","24    63.418211
Name: latitude, dtype: float64",Vertical,2023,18.00704623993083,277,165,112
HJOR,"24   -41.147872
Name: longitude, dtype: float64","24    63.418211
Name: latitude, dtype: float64",Vertical,2024,14.611731477015631,316,110,206
DMHN,"25   -18.655678
Name: longitude, dtype: float64","25    76.771078
Name: latitude, dtype: float64",Vertical,2012,25.874861050681936,48,145,97
DMHN,"25   -18.655678
Name: longitude, dtype: float64","25    76.771078
Name: latitude, dtype: float64",Vertical,2013,19.57900495586079,29,363,334
DMHN,"25   -18.655678
Name: longitude, dtype: float64","25    76.771078
Name: latitude, dtype: float64",Vertical,2014,25.43747119210841,352,0,352
DMHN,"25   -18.655678
Name: longitude, dtype: float64","25    76.771078
Name: latitude, dtype: float64",Vertical,2015,28.86612940348789,315,162,153
DMHN,"25   -18.655678
Name: longitude, dtype: float64","25    76.771078
Name: latitude, dtype: float64",Vertical,2016,15.017208226080804,59,142,83
DMHN,"25   -18.655678
Name: longitude, dtype: float64","25    76.771078
Name: latitude, dtype: float64",Vertical,2017,12.775104195467835,216,134,82
DMHN,"25   -18.655678
Name: longitude, dtype: float64","25    76.771078
Name: latitude, dtype: float64",Vertical,2020,24.572798149680473,311,94,217
DMHN,"25   -18.655678
Name: longitude, dtype: float64","25    76.771078
Name: latitude, dtype: float64",Vertical,2021,34.18302642890933,291,364,73
DMHN,"25   -18.655678
Name: longitude, dtype: float64","25    76.771078
Name: latitude, dtype: float64",Vertical,2022,39.63158144772266,364,105,259
GROK,"26   -22.903767
Name: longitude, dtype: float64","26    78.4427
Name: latitude, dtype: float64",Vertical,2009,11.940360720794544,27,288,261
GROK,"26   -22.903767
Name: longitude, dtype: float64","26    78.4427
Name: latitude, dtype: float64",Vertical,2010,12.669353670850064,307,86,221
GROK,"26   -22.903767
Name: longitude, dtype: float64","26    78.4427
Name: latitude, dtype: float64",Vertical,2012,19.449970682375714,269,160,109
GROK,"26   -22.903767
Name: longitude, dtype: float64","26    78.4427
Name: latitude, dtype: float64",Vertical,2013,19.447022095904835,238,294,56
GROK,"26   -22.903767
Name: longitude, dtype: float64","26    78.4427
Name: latitude, dtype: float64",Vertical,2014,11.289573250462453,257,153,104
GROK,"26   -22.903767
Name: longitude, dtype: float64","26    78.4427
Name: latitude, dtype: float64",Vertical,2015,11.246735797831477,252,126,126
GROK,"26   -22.903767
Name: longitude, dtype: float64","26    78.4427
Name: latitude, dtype: float64",Vertical,2016,14.355235962950957,301,136,165
